chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Especie
0.502511144,0.020224705,3237.139463,2117.521235,5409.400623,0.244247956,-348.9261475,37.63070297,-37.52215958,50.91355896,2.102797508,9.3250494,7.620856285,0.802993655,-28.72742653,-9.326784134,-5.521289349,1.715925217,-3.51382184,3.847635508,4.297734261,2.257838488,-6.575316429,-0.085095689,1.036810994,-0.174087375,Pajaro01
0.463553816,0.013834386,2502.952694,1787.326026,3902.026405,0.189755088,-373.2352905,73.24078369,-79.22894287,-0.315896899,-26.9277153,-22.52498627,-16.16799545,-14.65109253,-21.95910263,-13.46981239,-16.74313736,-8.512561798,-17.54204369,-2.901484251,-10.53884602,-3.492576122,-10.2414093,-4.191561222,-2.553548336,-4.056690693,Pajaro01
0.42648536,0.050502259,3303.221447,2091.619472,5121.0857,0.251021914,-223.7434692,21.73578072,-27.64764023,84.41881561,18.13143921,25.94371223,7.36214304,10.81809521,-2.432800055,-5.264610291,0.019824663,10.64361668,-5.744972706,0.449801892,0.331430733,7.870875359,-1.194159985,5.012222767,-0.741751552,2.025828362,Pajaro01
0.356729507,0.048782557,3550.653243,1945.839632,5136.435607,0.281232993,-257.9002686,-3.346456051,-46.38106918,70.32458496,11.11305332,11.75843811,2.351480484,9.897036552,5.915770531,6.825837612,11.2189045,18.23276138,1.084960461,9.517190933,10.22305393,11.89912224,-1.331775427,1.636792421,-2.973287106,4.527832985,Pajaro01
0.424906105,0.019962585,3482.223598,2178.110807,5367.059213,0.247293667,-296.2758179,15.05108929,-29.0529213,70.90779877,4.541979313,14.04729557,8.064153671,13.53787422,9.652547836,8.016551018,8.938649178,16.95676231,3.185415268,12.39027405,4.239893436,7.393997669,0.529677629,7.880253315,-1.491627216,4.294689655,Pajaro01
0.412857771,0.030995365,3496.588319,2100.11868,5275.251435,0.262225172,-291.4880371,8.79927063,-34.39284897,71.05174255,8.870137215,11.36005116,8.042336464,9.999242783,5.222699165,4.994033813,11.63362598,16.4841156,2.567847967,8.742277145,5.779638767,4.266113758,-0.469919741,7.817452431,-1.953155279,2.493908644,Pajaro01
0.314653248,0.060550556,2637.569313,1741.473525,4084.358636,0.207701314,-189.4115448,64.26139069,-64.43103027,51.54166412,24.01737213,11.61062145,-23.65380478,1.738178253,14.733881,5.651650429,3.753390312,6.490533829,-6.665549278,4.714941025,3.612514019,4.279463291,-4.179387569,5.941117287,-3.988317966,-5.206837177,Pajaro01
0.585953474,0.013754706,1732.523961,1792.025769,3367.162973,0.061042715,-462.3687744,58.35382462,-37.45855713,56.72556305,38.87321854,21.1163044,21.27873993,9.328958511,6.329243183,2.960698605,7.990223885,9.010345459,4.549062729,10.43016624,9.35283947,7.914977074,4.562099934,3.392270088,7.338254929,4.922896862,Pajaro01
0.419570416,0.033168323,2723.453534,1827.968256,4290.982386,0.161103712,-371.8078003,8.045554161,-55.54870224,81.15940857,30.46922684,23.04982376,24.86403465,16.33399773,4.13367939,-1.187241554,12.21092892,16.92399406,9.159089088,10.22665501,10.46522331,9.614418983,3.087760687,11.33354855,4.802216053,3.173933983,Pajaro01
0.397356629,0.02451808,2929.217003,1802.572053,4436.031509,0.18804875,-371.8948975,16.97277069,-64.46738434,73.70278168,14.76405907,24.67379189,17.7708931,14.24230957,-1.650563121,-1.999738097,5.547153473,8.15788269,6.512813091,9.765612602,12.16558647,10.18677616,2.063724041,9.760091782,2.694231272,4.270233631,Pajaro01
0.489834428,0.013298766,1990.121825,1745.544773,3403.196088,0.099600683,-428.3719482,74.43022919,-53.89040756,70.00653839,32.7847023,19.29241371,19.53413391,16.20307922,4.320419312,3.322757244,2.476087332,7.895733833,4.120769501,11.56949806,8.367305756,7.194271088,-1.054590702,3.587053537,1.562461615,5.530619621,Pajaro01
0.443092674,0.015214448,3969.547475,2248.018958,6346.861621,0.317114862,-348.6790466,-26.49830437,-83.68282318,-13.65571785,-38.74330139,-25.98296928,-20.7433033,-6.524260044,-17.22628784,1.830236912,-0.356251717,5.160092831,4.985812664,10.29108334,6.710762024,7.660417557,-0.84806174,8.785087585,1.822291732,2.820763588,Pajaro01
0.304626226,0.040311337,3550.748767,1708.412219,5138.718927,0.282225051,-483.9421387,-37.37432098,-58.65027618,35.98775101,7.710255146,-11.84737778,5.68884182,4.804205418,-2.972219706,-1.043397188,1.66622901,4.921869755,-5.63669014,0.378426939,3.396573305,4.150204659,-5.33219862,0.369184464,4.924834728,0.693800151,Pajaro01
0.383383155,0.019505568,2893.1273,1885.008662,4509.422732,0.234525415,-340.2921753,52.16385269,-63.61701965,37.18699265,11.12546635,-1.973247528,-4.975982189,9.898841858,-3.540250778,-0.808948815,-0.053016968,2.004327536,-4.88868475,4.10060358,0.450116456,-2.220826626,-1.523688197,2.752460957,-0.402057201,0.049805634,Pajaro01
0.459132284,0.020132856,4389.307572,2454.526506,7182.681567,0.356841758,-329.3664246,-50.88073349,-81.97649384,-29.32096291,-44.88212967,-32.02824402,-21.0730629,-9.339823723,-10.4554739,4.001972198,-1.108018994,7.563865185,3.851557255,8.40639019,3.100901604,6.548352718,-0.015537616,5.63344717,-3.371804953,3.260439157,Pajaro01
0.459956676,0.004559576,2880.494747,2210.430389,4995.878124,0.210556928,-414.9618835,67.23241425,-44.68659973,21.07738495,2.124358654,-5.066274166,-3.523507118,10.09241104,-5.29708147,0.943588018,-0.671529293,3.09196043,-2.043794155,2.829274654,-0.476096153,5.013310432,-3.124328375,4.613837719,-3.024657011,2.290484905,Pajaro01
0.380803168,0.010673393,3233.098606,2002.455587,4986.936511,0.259496541,-329.4336853,32.70105743,-64.89241791,25.73558807,-11.2646246,-3.382152319,5.75108099,15.03854275,-3.4156425,4.904151917,5.325932503,11.57424259,-0.131980181,8.671414375,0.339152366,7.96323967,0.576041937,6.132558346,1.535828829,4.062187672,Pajaro01
0.377569318,0.007166473,3003.089528,2253.249349,5161.652122,0.212076193,-370.6867065,53.45999908,-46.89196777,17.64078331,-7.086283684,3.642776966,9.558405876,17.88780022,13.16622162,13.5613966,2.02665472,5.845719337,-2.366368771,2.629211187,2.897129774,12.25211143,1.481522202,0.709876359,-0.226900786,4.061648369,Pajaro01
0.455950439,0.007370578,2353.202811,1963.612598,3841.035107,0.172244234,-364.1536255,94.89424133,-52.57806015,12.83010101,-3.406724691,-3.159837008,3.516215324,12.17458439,-4.228247166,0.930561841,1.926036119,4.503586292,-0.177068278,5.916609287,-3.093128204,2.686520815,-2.484598637,5.898638725,-2.235341311,2.423711061,Pajaro01
0.601296246,0.004992124,3266.885903,2376.84756,5887.322733,0.239321682,-359.7339783,44.61017227,-45.88758469,15.83316326,-16.09575272,-2.936834812,-11.13199043,4.105782986,-10.42528057,-0.7464903,-6.582076073,-2.775164604,-11.26762009,-3.859850883,-9.685441017,-1.697954178,-7.729969978,-1.605889916,-6.495019913,-2.200290203,Pajaro01
0.546662986,0.0293881,3044.537341,2436.896178,5763.490149,0.206747805,-273.2115784,63.5019455,-29.22046661,21.66646957,-0.252312541,5.113529205,2.153824568,9.596479416,-4.427742481,4.169305801,-1.968246222,4.132485867,-2.994520426,2.999253511,-2.543476343,1.717995286,-1.583778262,4.44481945,-3.966201544,2.203359842,Pajaro01
0.357822686,0.007361469,2862.393162,1921.222379,4395.823419,0.233832675,-368.3208618,62.17444611,-61.39053345,28.42489815,-0.284235775,-4.804665565,-2.130270004,11.92137718,-6.563801765,-4.561964989,-0.076740466,4.930181026,-3.254560709,3.623891115,-0.18868418,2.764874458,-5.130087376,2.421334267,-4.560734272,2.725723028,Pajaro01
0.485232145,0.006668913,2554.22649,2112.543912,4446.956443,0.1793485,-364.9793701,84.77256775,-46.12636566,16.51984596,-5.276733398,-2.707163334,1.25725162,10.88267136,-3.558520079,1.739708304,0.747748792,4.736981869,-1.228241324,4.40054512,-2.589245796,3.430653095,-1.958912015,6.539850235,-2.78444171,1.941619158,Pajaro01
0.598582923,0.00591354,2422.406278,2383.652438,4955.420035,0.132831018,-389.8764038,88.74687195,-17.63300514,20.95921707,-5.784452438,12.78262711,0.341794878,10.6568718,1.556541204,3.630775928,0.655582607,1.310669661,-2.795192957,2.22276473,-6.727860928,1.370753527,-6.405999184,0.633957028,-3.010612965,2.476481915,Pajaro01
0.473912716,0.008046145,3044.068935,2416.375143,5821.589798,0.194637901,-385.9275818,41.72584915,-64.94754028,-33.66172409,-40.36077881,-20.90279388,-14.53652,3.672274113,-7.090168953,4.932973862,-2.305167437,9.926139832,7.916240692,11.85488224,2.326576233,6.931753159,-1.165111184,1.837946534,-1.024505377,5.927429199,Pajaro01
0.314974278,0.025734514,3501.129974,2153.474886,5274.37644,0.28034411,-356.0949097,29.73166084,-23.08697128,46.49825668,-10.59891129,17.5178051,11.25330162,9.228702545,11.80260754,1.511691809,10.66718388,15.20006847,-9.2856493,21.57243729,-0.681110144,0.762223482,11.23513699,-0.806665361,3.178141356,8.593344688,Pajaro01
0.477477849,0.006459177,3090.448295,1910.266848,4756.462905,0.263030156,-395.8223877,48.51725769,-63.3248291,36.82765579,-16.77308464,-5.86867094,-1.693284392,4.149067402,-4.065695763,0.270578027,-1.890005946,3.065663576,-3.58344841,1.376232266,-3.522052765,1.101144552,-5.367434502,1.827553391,-3.083137751,2.215573072,Pajaro01
0.465179533,0.00587712,3248.909551,1985.749128,5051.619454,0.271765552,-386.3169861,53.35461044,-36.80719376,61.04264069,-19.37186241,14.07067204,0.707049727,9.568036079,5.232302666,4.616010666,0.04963788,7.022950649,-4.38980484,5.558345795,0.574299634,3.342760324,-1.768912911,6.422171116,-3.662119865,4.068683624,Pajaro01
0.336728871,0.021383427,2999.974853,1400.908919,4094.325242,0.267717202,-376.7724915,10.95561218,-121.9109192,24.84848976,-7.328256607,-14.9153595,-1.104011655,-14.0668354,-3.120238781,-8.727175713,-0.090673581,5.393705368,-3.526534319,8.477595329,2.881463766,7.428380013,7.616519928,4.459929943,7.017470837,8.025548935,Pajaro01
0.412659347,0.02228443,3592.568118,2361.972372,6095.71314,0.272321483,-299.7261658,24.56672287,-46.56665421,19.86417961,-1.964969277,-13.83335209,0.717280924,7.19477129,-9.826357841,-2.759908199,2.013010979,4.040050507,-2.082587004,5.87865448,-1.895032525,3.52723217,-1.394556046,1.569071531,-3.745696068,-0.344825238,Pajaro01
0.413629383,0.015040036,3354.590158,2075.794461,5431.52549,0.262553968,-362.3346863,17.85733032,-53.01674271,47.04842377,10.12339211,9.806893349,11.56351852,16.69239426,-3.486322165,8.543113708,-4.049865723,8.10820961,-10.5205307,6.619653225,-5.806138992,1.900588632,-7.253517628,-1.080765009,-3.34402895,-6.314989567,Pajaro01
0.370242119,0.008406324,3302.427596,1928.263224,4937.570143,0.258326858,-475.9384155,-9.522580147,-104.8613815,-18.14845467,-41.64853287,-21.2512188,2.58671546,-5.946111679,-12.98889542,-4.50755024,-3.305258512,4.611450672,1.071487904,7.450014591,0.738438308,4.44562149,2.134666204,7.569723129,-0.973902106,2.329706669,Pajaro01
