chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Especie
0.438129261,-0.127808475,-0.03328283,-0.12121542,0.001516868,0.105332234,0.61120775,0.111369774,-0.334393018,0.687390416,0.665779266,0.02152895,0.61530835,-0.099868734,-2.757245663,-1.337906131,-0.44144001,-0.228905365,-0.602808344,-0.166247158,0.487794947,-0.36475968,-1.474869398,-0.762843185,0.202915561,-1.008250442,Pajaro01
0.079270467,-0.416529759,-0.789507804,-0.930725065,-1.119066034,-0.401162643,0.341832266,0.711110771,-1.326232446,-0.891502014,-0.651983042,-1.770982086,-0.998084135,-1.430930878,-2.085585841,-1.802859203,-1.774120049,-1.564238119,-2.595533716,-1.210882053,-1.989030793,-1.448910845,-2.18491461,-1.643974152,-0.580913226,-2.008086092,Pajaro01
-0.262188819,1.240163026,0.034782748,-0.184716423,-0.212816619,0.168294144,1.998387239,-0.156330729,-0.099564607,1.720022818,1.393356488,0.956822612,0.597762064,0.762733065,-0.147878205,-0.88202698,0.21660954,0.93660805,-0.919745942,-0.692166935,-0.174341642,0.69349105,-0.432652384,0.330896699,-0.185371069,-0.441735142,Pajaro01
-0.904750888,1.162465094,0.289641745,-0.542111634,-0.201405489,0.449097069,1.619887496,-0.578762956,-0.545068959,1.285638464,1.074775675,0.158479381,0.257932071,0.683402182,0.68059861,0.474828572,1.546585685,1.927373691,0.050454077,0.711291788,1.47697062,1.452954296,-0.459305605,-0.393374862,-0.672548436,0.202573126,Pajaro01
-0.276736263,-0.13965133,0.219158036,0.027326539,-0.029959761,0.133641205,1.194638767,-0.268913555,-0.132983947,1.303613121,0.776499385,0.287295634,0.645373386,0.996987931,1.051420577,0.60845688,1.275787974,1.760791542,0.348826147,1.155990206,0.478138973,0.603583184,-0.098781233,0.946294664,-0.349080068,0.142534797,Pajaro01
-0.387720533,0.358821189,0.233953945,-0.163879685,-0.098209719,0.272425069,1.247693322,-0.374205985,-0.259974101,1.30804947,0.972964511,0.136058275,0.643893713,0.692205216,0.611821141,0.269253628,1.595837024,1.69908734,0.261099987,0.591349927,0.735184788,0.013869361,-0.292382255,0.932819376,-0.449838501,-0.321196598,Pajaro01
-1.292339985,1.694155576,-0.650850376,-1.043137483,-0.983520143,-0.23435785,2.378827584,0.559880838,-0.974319591,0.706748624,1.660532635,0.150160301,-1.50578197,-0.019321181,1.555670577,0.343054927,0.659998937,0.394421552,-1.050514925,-0.032004821,0.373403956,0.016386208,-1.010828286,0.530211103,-0.894144754,-2.304268155,Pajaro01
1.206765496,-0.420129785,-1.583062623,-0.919203131,-1.516683832,-1.597505575,-0.645877394,0.460386271,-0.332880472,0.86651645,2.334873959,0.685137459,1.541604713,0.634473558,0.721629887,0.041061737,1.163155237,0.72338389,0.542533869,0.852602936,1.331696606,0.701805742,0.682214298,-0.016699173,1.578614398,0.304308718,Pajaro01
-0.325886424,0.4569977,-0.562388154,-0.831086196,-0.829915923,-0.667468596,0.35765063,-0.386899994,-0.76308673,1.619567855,1.953397284,0.793955384,1.784764308,1.237818357,0.503751427,-0.424442575,1.664396151,1.756513635,1.197393521,0.821103283,1.517398491,1.02220906,0.396665743,1.687273821,1.024959431,-0.146078636,Pajaro01
-0.530510642,0.06617069,-0.350448249,-0.893347763,-0.722086318,-0.417022543,0.356685484,-0.236548811,-0.975184136,1.389754527,1.240503294,0.885351853,1.30369774,1.057661025,-0.070252322,-0.515625338,0.873021993,0.612094561,0.821486911,0.74974272,1.801257922,1.130118097,0.198331346,1.349654651,0.564755033,0.13623696,Pajaro01
0.321356596,-0.44072963,-1.317732402,-1.033156373,-1.489896792,-1.239120818,-0.269150353,0.731143279,-0.72365041,1.275836265,2.058502085,0.582489405,1.423283145,1.226542331,0.522282707,0.081693919,0.508309466,0.577870931,0.481694313,1.028949752,1.167171141,0.565927846,-0.405620744,0.025095827,0.317672901,0.460807549,Pajaro01
-0.109209111,-0.354177117,0.721109994,0.198714012,0.698425939,0.782608288,0.613945935,-0.968683796,-1.432151286,-1.302635452,-1.188319898,-1.965596396,-1.308387776,-0.730965901,-1.61592133,-0.085804797,0.171947602,0.220731988,0.604574709,0.831075558,0.890626945,0.653812507,-0.36562042,1.14044642,0.374397676,-0.237025953,Pajaro01
-1.384704764,0.77972653,0.289740136,-1.124190888,-0.199708068,0.458317951,-0.884937054,-1.151856451,-0.836846035,0.22737684,0.920314773,-1.170049288,0.484276485,0.244756076,-0.201407929,-0.408299581,0.412132614,0.189631878,-0.904364277,-0.703214415,0.337354711,-0.007983495,-1.234103581,-0.665367557,1.051728909,-0.784754808,Pajaro01
-0.659228506,-0.160299836,-0.387621263,-0.691245406,-0.667527238,0.014964129,0.706882881,0.356135456,-0.954961401,0.264337481,1.075339131,-0.614336019,-0.239026477,0.683557673,-0.257776928,-0.381988515,0.207959041,-0.191254335,-0.798109234,-0.127092529,-0.154528191,-1.209142273,-0.496475079,-0.153984056,-0.111210745,-0.950594227,Pajaro01
0.038541143,-0.131958309,1.153470099,0.704989837,1.319774991,1.15185788,0.827953763,-1.37932994,-1.391572642,-1.785438489,-1.466975552,-2.305822755,-1.330752524,-0.973470711,-0.944014407,0.1579191,0.082669504,0.534545356,0.443452398,0.539361038,0.287995137,0.444149992,-0.204377978,0.464193827,-0.759550803,-0.123802099,Pajaro01
0.046135101,-0.835575359,-0.400633009,0.106561526,-0.305896007,-0.207815774,-0.120550188,0.609918485,-0.504772358,-0.232160817,0.666757976,-0.788410687,-0.14051763,0.700229808,-0.432117372,-0.185309339,0.134505985,-0.04926346,-0.393989187,-0.323869977,-0.309150563,0.154741663,-0.806485473,0.245414574,-0.683763249,-0.373581632,Pajaro01
-0.682994279,-0.559346723,-0.037444982,-0.403311432,-0.312543207,0.247063262,0.827208431,0.028345235,-0.985291966,-0.088594942,0.059000973,-0.693628784,0.48849763,1.126240677,-0.24541133,0.259166595,0.846750315,1.058101606,-0.122413769,0.580381723,-0.173052589,0.710904903,-0.08980144,0.571288921,0.311858568,0.082661627,Pajaro01
-0.712783168,-0.71779303,-0.274358281,0.211536887,-0.182659517,-0.193694661,0.370073741,0.377965009,-0.557218766,-0.33807692,0.248665558,-0.298267742,0.746715615,1.371647536,1.400102694,1.230729486,0.454935916,0.310240782,-0.43981129,-0.354835982,0.253977371,1.519504913,0.085571075,-0.592264744,-0.072971497,0.082522747,Pajaro01
0.009231303,-0.708571353,-0.943752754,-0.498539265,-1.164407002,-0.563920783,0.442468389,1.075795883,-0.692441149,-0.486342205,0.415689275,-0.681116941,0.336925982,0.879567628,-0.326050778,-0.186771207,0.442986689,0.135024817,-0.128818586,0.153990486,-0.746039133,-0.283938301,-0.682583255,0.521096409,-0.511443905,-0.339273656,Pajaro01
1.348096766,-0.816032388,-0.002643486,0.51455141,0.356804453,0.059543994,0.491443567,0.228917215,-0.533333281,-0.393787791,-0.160295137,-0.66856644,-0.656535382,0.184600875,-0.941018149,-0.374979082,-0.567416524,-0.815218798,-1.704244483,-1.359218912,-1.846562957,-1.110562812,-1.698501546,-1.089162468,-1.441395033,-1.530031746,Pajaro01
